"Период","Сумма","Код раздела и подраздела полностью","Название подраздела","Тип","КБК","Комментарий","Код раздела","Наименование ГРБС","Код подраздела","Название раздела","Название вида расходов","ДокВерсия","Регион","Дата изменения","Код ГРБС","Название целевой статьи расходов","id","Уровень","Код целевой статьи расходов","Версия","Стадия","Код вида расходов"
"2014","1929800.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субьектов российской федерации, местных администраций","E","92701047811005100",,"01","Местная администрация муниципального образования муниципальный округ дачное","04","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","927","Расходы на обеспечение функций главы ма мо дачное и его заместителей","1","M","7811005","final","PR","100"
"2014","7584400.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субьектов российской федерации, местных администраций","E","92701047821006100",,"01","Местная администрация муниципального образования муниципальный округ дачное","04","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","927","Расходы на обеспечение функций аппарата ма мо дачное","2","M","7821006","final","PR","100"
"2014","1234900.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субьектов российской федерации, местных администраций","E","92701047821006200",,"01","Местная администрация муниципального образования муниципальный округ дачное","04","Общегосударственные вопросы","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на обеспечение функций аппарата ма мо дачное","3","M","7821006","final","PR","200"
"2014","167500.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субьектов российской федерации, местных администраций","E","92701047821006800",,"01","Местная администрация муниципального образования муниципальный округ дачное","04","Общегосударственные вопросы","Иные бюджетные ассигнования","1",,"2015","927","Расходы на обеспечение функций аппарата ма мо дачное","4","M","7821006","final","PR","800"
"2014","100000.00","0111","Резервные фонды","E","92701119912002800",,"01","Местная администрация муниципального образования муниципальный округ дачное","11","Общегосударственные вопросы","Иные бюджетные ассигнования","1",,"2015","927","Создание резервного фонда ма мо дачное","5","M","9912002","final","PR","800"
"2014","400000.00","0113","Другие общегосударственные вопросы","E","92701139926001600",,"01","Местная администрация муниципального образования муниципальный округ дачное","13","Общегосударственные вопросы","Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям","1",,"2015","927","Субсидии на осуществление в порядке и формах, установленных законом санкт-петербурга, поддержки деятельности граждан, общественных объединений, участвующих в охране общественного порядка на территории мо дачное","6","M","9926001","final","PR","600"
"2014","300000.00","0113","Другие общегосударственные вопросы","E","92701139932003200",,"01","Местная администрация муниципального образования муниципальный округ дачное","13","Общегосударственные вопросы","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на выполнение отдельных функций по определению поставщика (подрядчика, исполнителя) путем проведения конкурса или аукциона","7","M","9932003","final","PR","200"
"2014","72000.00","0113","Другие общегосударственные вопросы","E","92701139942004800",,"01","Местная администрация муниципального образования муниципальный округ дачное","13","Общегосударственные вопросы","Иные бюджетные ассигнования","1",,"2015","927","Расходы на уплату членских взносов в совет муниципальных образований санкт-петербурга","8","M","9942004","final","PR","800"
"2014","10000.00","0113","Другие общегосударственные вопросы","E","92701139952005200",,"01","Местная администрация муниципального образования муниципальный округ дачное","13","Общегосударственные вопросы","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на присвоение звания ""почетный житель мо дачное""","9","M","9952005","final","PR","200"
"2014","90000.00","0309","Защита населения и территории от чрезвычайных ситуаций природного и техногенного характера, гражданская оборона","E","92703090102006200",,"03","Местная администрация муниципального образования муниципальный округ дачное","09","Национальная безопасность и правоохранительная деятельность","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по содействию в сборе и обмене информацией в области защиты населения и территорий от чрезвычайных ситуаций, содействию в информировании населения об угрозе или возникновении чрезвычайной ситуации, проведению подготовки и обучения неработающего населения способам защиты и действиям в чрезвычайных ситуациях","10","M","0102006","final","PR","200"
"2014","265000.00","0401","Общеэкономические вопросы","E","92704010206002800",,"04","Местная администрация муниципального образования муниципальный округ дачное","01","Национальная экономика","Иные бюджетные ассигнования","1",,"2015","927","Субсидии на финансирование оплачиваемых общественных работ,  временного трудоустройства несовершеннолетних в возрасте от 14 до 18 лет в свободное от учебы время, безработных граждан, испытывающих трудности в поиске работы, безработных граждан в возрасте от 18 до 20 лет из числа выпускников образовательных учреждений начального и среднего профессионального образования, ищущих работу впервые на территории мо дачное","11","M","0206002","final","PR","800"
"2014","4135000.00","0503","Благоустройство","E","92705030302007200",,"05","Местная администрация муниципального образования муниципальный округ дачное","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по озеленению территорий зеленых насаждений внутриквартального озеленения","12","M","0302007","final","PR","200"
"2014","3500000.00","0503","Благоустройство","E","92705030302008200",,"05","Местная администрация муниципального образования муниципальный округ дачное","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по поведению санитарных рубок, удалению аварийных, больных деревьев и кустарников в отношении зеленых насаждений внутриквартального озеленения","13","M","0302008","final","PR","200"
"2014","10600000.00","0503","Благоустройство","E","92705030302009200",,"05","Местная администрация муниципального образования муниципальный округ дачное","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по текущему ремонту придомовых территорий и территорий дворов, включая проезды и въезды, пешеходные дорожки","14","M","0302009","final","PR","200"
"2014","3000000.00","0503","Благоустройство","E","92705030302010200",,"05","Местная администрация муниципального образования муниципальный округ дачное","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по содержанию и ремонту ограждений газонов","15","M","0302010","final","PR","200"
"2014","1000000.00","0503","Благоустройство","E","92705030302011200",,"05","Местная администрация муниципального образования муниципальный округ дачное","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по установке и содержанию малых архитектурных форм, уличной мебели и хозяйственно-бытового оборудования","16","M","0302011","final","PR","200"
"2014","14971000.00","0503","Благоустройство","E","92705030302012200",,"05","Местная администрация муниципального образования муниципальный округ дачное","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по созданию зон отдыха","17","M","0302012","final","PR","200"
"2014","50000.00","0503","Благоустройство","E","92705030302013200",,"05","Местная администрация муниципального образования муниципальный округ дачное","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по выполнению оформления к праздничным мероприятиям на территории мо дачное","18","M","0302013","final","PR","200"
"2014","615000.00","0503","Благоустройство","E","92705030302014200",,"05","Местная администрация муниципального образования муниципальный округ дачное","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по обеспечению чистоты и порядка на территории мо дачное","19","M","0302014","final","PR","200"
