"Период","Сумма","Код раздела и подраздела полностью","Название подраздела","Тип","КБК","Комментарий","Код раздела","Наименование ГРБС","Код подраздела","Название раздела","Название вида расходов","ДокВерсия","Регион","Дата изменения","Код ГРБС","Название целевой статьи расходов","id","Уровень","Код целевой статьи расходов","Версия","Стадия","Код вида расходов"
"2014","1044300.00","0102","Функционирование высшего должностного лица субъекта российской федерации и муниципального образования","E","94601020020100100",,"01","Муниципальный совет мо горелово","02","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","946","Глава муниципального образования","1","M","0020100","final","EN","100"
"2014","1044300.00","0102","Функционирование высшего должностного лица субъекта российской федерации и муниципального образования","E","94601020020100120",,"01","Муниципальный совет мо горелово","02","Общегосударственные вопросы","Расходы на выплаты персоналу государственных (муниципальных) органов","1",,"2015","946","Глава муниципального образования","2","M","0020100","final","EN","120"
"2014","1044300.00","0102","Функционирование высшего должностного лица субъекта российской федерации и муниципального образования","E","94601020020100121",,"01","Муниципальный совет мо горелово","02","Общегосударственные вопросы","Фонд оплаты труда государственных (муниципальных) органов и взносы по обязательному социальному страхованию","1",,"2015","946","Глава муниципального образования","3","M","0020100","final","EN","121"
"2014","18000.00","0102","Функционирование высшего должностного лица субъекта российской федерации и муниципального образования","E","94601020020100200",,"01","Муниципальный совет мо горелово","02","Общегосударственные вопросы","Закупка товаров, работ и услуг для государственных (муниципальных) нужд","1",,"2015","946","Глава муниципального образования","4","M","0020100","final","EN","200"
"2014","18000.00","0102","Функционирование высшего должностного лица субъекта российской федерации и муниципального образования","E","94601020020100240",,"01","Муниципальный совет мо горелово","02","Общегосударственные вопросы","Иные закупки товаров, работ и услуг для муниципальных нужд","1",,"2015","946","Глава муниципального образования","5","M","0020100","final","EN","240"
"2014","18000.00","0102","Функционирование высшего должностного лица субъекта российской федерации и муниципального образования","E","94601020020100242",,"01","Муниципальный совет мо горелово","02","Общегосударственные вопросы","Закупка товаров, работ и услуг в сфере информационно-коммуникационных технологий","1",,"2015","946","Глава муниципального образования","6","M","0020100","final","EN","242"
"2014","103500.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","94601030020302100",,"01","Муниципальный совет мо горелово","03","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","946","Компенсация депутатам, муниципального совета, осуществляющим свои полномочия на непостоянной основе, расходов в связи с осуществлением ими своих мандатов","7","M","0020302","final","EN","100"
"2014","103500.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","94601030020302120",,"01","Муниципальный совет мо горелово","03","Общегосударственные вопросы","Расходы на выплаты персоналу государственных (муниципальных) органов","1",,"2015","946","Компенсация депутатам, муниципального совета, осуществляющим свои полномочия на непостоянной основе, расходов в связи с осуществлением ими своих мандатов","8","M","0020302","final","EN","120"
"2014","103500.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","94601030020302123",,"01","Муниципальный совет мо горелово","03","Общегосударственные вопросы","Инные выплаты за исключением фонда оплаты труда государственных (муниципальных) нужд органов, лицам, привлекаемым согласно законодательству дл выпонения отдельных государственных полномочий","1",,"2015","946","Компенсация депутатам, муниципального совета, осуществляющим свои полномочия на непостоянной основе, расходов в связи с осуществлением ими своих мандатов","9","M","0020302","final","EN","123"
"2014","1432900.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","94601030020400100",,"01","Муниципальный совет мо горелово","03","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","946","Аппарат представительного органа  муниципального образования","10","M","0020400","final","EN","100"
"2014","1432900.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","94601030020400120",,"01","Муниципальный совет мо горелово","03","Общегосударственные вопросы","Расходы на выплаты персоналу государственных (муниципальных) органов","1",,"2015","946","Аппарат представительного органа  муниципального образования","11","M","0020400","final","EN","120"
