"Период","Сумма","Код раздела и подраздела полностью","Название подраздела","Тип","КБК","Комментарий","Код раздела","Наименование ГРБС","Код подраздела","Название раздела","Название вида расходов","ДокВерсия","Регион","Дата изменения","Код ГРБС","Название целевой статьи расходов","id","Уровень","Код целевой статьи расходов","Версия","Стадия","Код вида расходов"
"2014","1007400.00","0102","Функционирование высшего   должностного лица субъекта российской федерации и муниципального образования","E","93501020020100100",,"01","Муниципальный совет муниципального образования поселок комарово","02",,"Расходы на выплату персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами,казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","935","Глава  муниципального образования","1","M","0020100","final","EN","100"
"2014","521100.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципального образования","E","93501030020400100",,"01","Муниципальный совет муниципального образования поселок комарово","03",,"Расходы на выплату персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами,казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","935","Аппарат представительного органа муниципального образования","2","M","0020400","final","EN","100"
"2014","307300.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципального образования","E","93501030020400200",,"01","Муниципальный совет муниципального образования поселок комарово","03",,"Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","935","Аппарат представительного органа муниципального образования","3","M","0020400","final","EN","200"
"2014","40000.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципального образования","E","93501030020400800",,"01","Муниципальный совет муниципального образования поселок комарово","03",,"Иные бюджетные ассигнования","1",,"2015","935","Аппарат представительного органа муниципального образования","4","M","0020400","final","EN","800"
"2014","124200.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципального образования","E","93501030020300300",,"01","Муниципальный совет муниципального образования поселок комарово","03",,"Социальное обеспечение и иные выплаты населению","1",,"2015","935","Компенсация расходов в связи с осуществлением депутатской деятельности","5","M","0020300","final","EN","300"
"2014","2236500.00","0104","Функционирование правительства российской федерации, высших  исполнительных органов государственной власти субъектов российскойфедерации, местных администраций","E","88501040020601100",,"01","Местная администрация муниципального образования поселок комарово","04",,"Расходы на выплату персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами,казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","885","Содержание и обеспечение деятельности местной администрации по решению вопросов местного значения","6","M","0020601","final","EN","100"
"2014","470000.00","0104","Функционирование правительства российской федерации, высших  исполнительных органов государственной власти субъектов российскойфедерации, местных администраций","E","88501040020601200",,"01","Местная администрация муниципального образования поселок комарово","04",,"Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Содержание и обеспечение деятельности местной администрации по решению вопросов местного значения","7","M","0020601","final","EN","200"
"2014","15000.00","0104","Функционирование правительства российской федерации, высших  исполнительных органов государственной власти субъектов российскойфедерации, местных администраций","E","88501040020601800",,"01","Местная администрация муниципального образования поселок комарово","04",,"Иные бюджетные ассигнования","1",,"2015","885","Содержание и обеспечение деятельности местной администрации по решению вопросов местного значения","8","M","0020601","final","EN","800"
"2014","1007400.00","0104","Функционирование правительства российской федерации, высших  исполнительных органов государственной власти субъектов российскойфедерации, местных администраций","E","88501040020500100",,"01","Местная администрация муниципального образования поселок комарово","04",,"Расходы на выплату персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами,казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","885","Глава местной администрации (исполнительно-","9","M","0020500","final","EN","100"
"2014","415800.00","0107","Обеспечение проведения выборов и референдумов","E","95701070200101200",,"01","Избирательная комиссия муниципального образования поселок комарово","07",,"Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","957","Проведение выборов в муниципальный совет","10","M","0200101","final","EN","200"
"2014","100000.00","0111","Резервные фонды","E","88501110700100800",,"01","Местная администрация муниципального образования поселок комарово","11",,"Иные бюджетные ассигнования","1",,"2015","885","Резервный фонд местной администрации","11","M","0700100","final","EN","800"
"2014","30000.00","0309","Защита населения и территорий от чрезвычайных ситуаций природного и техногенного характера,гражданская оборона","E","88503092190100200",,"03","Местная администрация муниципального образования поселок комарово","09","Национальная безопасность и правоохранительная деятельность","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Подготовка населения и организаций к действиям в чрезвычайной ситуации в мирное и военное время","12","M","2190100","final","EN","200"
"2014","70000.00","0314","Другие вопросы в области национальной безопасности и правоохранительной деятельности","E","88503147950101200",,"03","Местная администрация муниципального образования поселок комарово","14","Национальная безопасность и правоохранительная деятельность","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Обеспечение правопорядка на территории мо","13","M","7950101","final","EN","200"
"2014","50000.00","0314","Другие вопросы в области национальной безопасности и правоохранительной деятельности","E","88503147950102200",,"03","Местная администрация муниципального образования поселок комарово","14","Национальная безопасность и правоохранительная деятельность","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Противодействие злоупотреблению наркотическими средствами на территории мо","14","M","7950102","final","EN","200"
"2014","30000.00","0314","Другие вопросы в области национальной безопасности и правоохранительной деятельности","E","88503147950103200",,"03","Местная администрация муниципального образования поселок комарово","14","Национальная безопасность и правоохранительная деятельность","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Мероприятия по профилактике терроризма и экстремизма на территории мо","15","M","7950103","final","EN","200"
"2014","10000.00","0314","Другие вопросы в области национальной безопасности и правоохранительной деятельности","E","88503147950104200",,"03","Местная администрация муниципального образования поселок комарово","14","Национальная безопасность и правоохранительная деятельность","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Мероприятия по профилактике табакокурения на территории мо","16","M","7950104","final","EN","200"
"2014","50000.00","0401","Общеэкономические вопросы","E","88504015100100810",,"04","Местная администрация муниципального образования поселок комарово","01","Национальная экономика","Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам","1",,"2015","885","Реализация государственной политики занятости населения","17","M","5100100","final","EN","810"
"2014","14986800.00","0409","Дорожное  хозяйство","E","88504093150100200",,"04","Местная администрация муниципального образования поселок комарово","09","Национальная экономика","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Текущий ремонт и содержание дорог, расположенных в пределах границ муниципальных образований ( в  соответствии с перечнем, утвержденным правительством  санкт-петербурга)","18","M","3150100","final","EN","200"
"2014","100000.00","0410","Информатика и связь","E","88504103300100200",,"04","Местная администрация муниципального образования поселок комарово","10","Национальная экономика","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Информационные технологии и связь","19","M","3300100","final","EN","200"
"2014","35000.00","0503","Благоустройство","E","88505036000102200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Текущий ремонт придомовых территорий и территорий дворов","20","M","6000102","final","EN","200"
"2014","1260000.00","0503","Благоустройство","E","88505036000103200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Установка, содержание и ремонт ограждений газонов","21","M","6000103","final","EN","200"
"2014","1044000.00","0503","Благоустройство","E","88505036000104200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Установка и содержание малых архитектурных форм, уличной мебели и хозяйственно-бытового оборудования","22","M","6000104","final","EN","200"
"2014","912000.00","0503","Благоустройство","E","88505036000105200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Обустройство и содержание   спортивных площадок","23","M","6000105","final","EN","200"
"2014","359600.00","0503","Благоустройство","E","88505036000202200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Ликвидация несанкционированых свалок бытовых отходов и мусора","24","M","6000202","final","EN","200"
"2014","805800.00","0503","Благоустройство","E","88505036000203200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Уборка территорий, водных акваторий, тупиков и проездов","25","M","6000203","final","EN","200"
"2014","185300.00","0503","Благоустройство","E","88505036000302200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Компенсационное озеленение.проведение санитарных рубок (в т.ч. удаление аварийных больных деревьев кустарников реконструкция зеленых насаждений)","26","M","6000302","final","EN","200"
"2014","3651400.00","0503","Благоустройство","E","88505036000401200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Создание зон отдыха, обустройство и содержание детских площадок","27","M","6000401","final","EN","200"
"2014","250000.00","0503","Благоустройство","E","88505036000402200",,"05","Местная администрация муниципального образования поселок комарово","03","Жилищно-коммунальное хозяйство","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Выполнение  оформления к праздничным мероприятиям на территории муниципального образования","28","M","6000402","final","EN","200"
"2014","100000.00","0705","Профессиональная подготовка, переподготовка и повышение квалификации","E","88507054280100200",,"07","Местная администрация муниципального образования поселок комарово","05","Образование","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Расходы на подготовку, переподготовку и повышение квалификации выборных должностных лиц местного самоуправления,депутатов представительного органа местного самоуправления, а также муниципальных служащих и работников муниципальных учреждений","29","M","4280100","final","EN","200"
"2014","149000.00","1003","Социальное обеспечение населения","E","88510035050100300",,"10","Местная администрация муниципального образования поселок комарово","03","Социальная политика","Социальное обеспечение и иные выплаты населению","1",,"2015","885","Расходы на предоставление доплат к пенсии лицам, замещавшим муниципальные должности и должности муниципальной службы","30","M","5050100","final","EN","300"
"2014","110000.00","1102","Массовый спорт","E","88511024870100200",,"11","Местная администрация муниципального образования поселок комарово","02","Физическая культура и спорт","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Создание условий для реализации на территории муниципального образования для развития массовой физической культуры и спорта","31","M","4870100","final","EN","200"
"2014","320000.00","1202","Периодическая печать и издательства","E","88512024570200200",,"12","Местная администрация муниципального образования поселок комарово","02","Средства массовой информации","Закупка товаров,работ и услуг для государственных (муниципальных) нужд","1",,"2015","885","Периодические издания,учрежденные исполнительными органами местного самоуправления","32","M","4570200","final","EN","200"
