"Период","Сумма","Код раздела и подраздела полностью","Название подраздела","Тип","КБК","Комментарий","Код раздела","Наименование ГРБС","Код подраздела","Название раздела","Название вида расходов","ДокВерсия","Регион","Дата изменения","Код ГРБС","Название целевой статьи расходов","id","Уровень","Код целевой статьи расходов","Версия","Стадия","Код вида расходов"
"2014","641810.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96701030020400121",,"01","Муниципальный совет","03",,"Начисления на фонд оплаты труда (страховые взносы), включая тарифы на обязательное социальное страхование от несчастных случаев на производстве и проф.заболеваний)","1",,"2015","967","Расходы на содержание аппарата муниципального совета","1","M","0020400","final","PR","121"
"2014","193830.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96701030020400121",,"01","Муниципальный совет","03",,"Начисления на фонд оплаты труда (страховые взносы), включая тарифы на обязательное социальное страхование от несчастных случаев на производстве и проф.заболеваний)","1",,"2015","967","Расходы на содержание аппарата муниципального совета","2","M","0020400","final","PR","121"
"2014","50000.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96701030020400244",,"01","Муниципальный совет","03",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","967","Расходы на содержание аппарата муниципального совета","3","M","0020400","final","PR","244"
"2014","250000.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96701030020400244",,"01","Муниципальный совет","03",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","967","Расходы на содержание аппарата муниципального совета","4","M","0020400","final","PR","244"
"2014","250000.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96701030020400244",,"01","Муниципальный совет","03",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","967","Расходы на содержание аппарата муниципального совета","5","M","0020400","final","PR","244"
"2014","72000.00","0113","Другие общегосударственные вопросы","E","96701130920500860",,"01","Муниципальный совет","13",,"Прочие расходы","1",,"2015","967","Расходы на содержание и обеспечение деятельности общественной организации ""совет муниципальных образований санкт-петербурга""","6","M","0920500","final","PR","860"
"2014","5702260.00","0107","Обеспечение проведения выборов и референдумов","E","94301070200101500",,"01","Избирательная комиссия","07",,"Выполнение функций органами местного самоуправления","1",,"2015","943","Расходы на проведение выборов представительного органа муниципального образования","7","M","0200101","final","PR","500"
"2014","209360.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020500121",,"01","Местная администрация","04",,"Начисления на фонд оплаты труда (страховые взносы), включая тарифы на обязательное социальное страхование от несчастных случаев на производстве и проф.заболеваний)","1",,"2015","926","Глава местной администрации муниципального образования муниципальный округ ульянка","8","M","0020500","final","PR","121"
"2014","6259620.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020601121",,"01","Местная администрация","04",,"Начисления на фонд оплаты труда (страховые взносы), включая тарифы на обязательное социальное страхование от несчастных случаев на производстве и проф.заболеваний)","1",,"2015","926","Расходы на содержание местной администрации","9","M","0020601","final","PR","121"
"2014","5000.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020603598",,"01","Местная администрация","04",,"Выполнение отдельных государственных полномочий за счет субвенций из фонда компенсаций санкт-петербурга","1",,"2015","926","Определение должностных лиц, уполномоченных составлять протоколы об административных правонарушениях, и составление протоколов об административных правонарушениях","10","M","0020603","final","PR","598"
"2014","5000.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020603598",,"01","Местная администрация","04",,"Выполнение отдельных государственных полномочий за счет субвенций из фонда компенсаций санкт-петербурга","1",,"2015","926","Определение должностных лиц, уполномоченных составлять протоколы об административных правонарушениях, и составление протоколов об административных правонарушениях","11","M","0020603","final","PR","598"
"2014","400000.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020601244",,"01","Местная администрация","04",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","926","Расходы на содержание местной администрации","12","M","0020601","final","PR","244"
"2014","0.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020601244",,"01","Местная администрация","04",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","926","Расходы на содержание местной администрации","13","M","0020601","final","PR","244"
"2014","220000.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020601244",,"01","Местная администрация","04",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","926","Расходы на содержание местной администрации","14","M","0020601","final","PR","244"
"2014","270000.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020601244",,"01","Местная администрация","04",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","926","Расходы на содержание местной администрации","15","M","0020601","final","PR","244"
"2014","1000000.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020601244",,"01","Местная администрация","04",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","926","Расходы на содержание местной администрации","16","M","0020601","final","PR","244"
"2014","800000.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020601244",,"01","Местная администрация","04",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","926","Расходы на содержание местной администрации","17","M","0020601","final","PR","244"
"2014","150000.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","92601040020601244",,"01","Местная администрация","04",,"Представительские расходы председателя муниципального совета - главы муниципального образования","1",,"2015","926","Расходы на содержание местной администрации","18","M","0020601","final","PR","244"
