"Период","Сумма","Код раздела и подраздела полностью","Название подраздела","Тип","КБК","Комментарий","Код раздела","Наименование ГРБС","Код подраздела","Название раздела","Название вида расходов","ДокВерсия","Регион","Дата изменения","Код ГРБС","Название целевой статьи расходов","id","Уровень","Код целевой статьи расходов","Версия","Стадия","Код вида расходов"
"2015","1117234.00","0102","Функционирование высшего должностного лица субъекта российской федерации и муниципального образования","E","92501020020100100",,"01","Муниципальный совет мо мо озеро долгое","02","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","925","Глава муниципального образования","1","M","0020100","final","PR","100"
"2015","960640.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов  муниципальных образований","E","92501030020301100",,"01","Муниципальный совет мо мо озеро долгое","03","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","925","Депутаты, осуществляющие свою деятельность на постоянной основе","2","M","0020301","final","PR","100"
"2015","264600.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов  муниципальных образований","E","92501030020302100",,"01","Муниципальный совет мо мо озеро долгое","03","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","925","Компесация  депутатам, осуществляющим свои полномочия на непостоянной основе","3","M","0020302","final","PR","100"
"2015","894767.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов  муниципальных образований","E","92501030020400100",,"01","Муниципальный совет мо мо озеро долгое","03","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","925","Аппарат представительного органа муниципального образования","4","M","0020400","final","PR","100"
"2015","187560.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов  муниципальных образований","E","92501030020400200",,"01","Муниципальный совет мо мо озеро долгое","03","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","925","Аппарат представительного органа муниципального образования","5","M","0020400","final","PR","200"
"2015","3199.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов  муниципальных образований","E","92501030020400800",,"01","Муниципальный совет мо мо озеро долгое","03","Общегосударственные вопросы","Иные бюджетные ассигнования","1",,"2015","925","Аппарат представительного органа муниципального образования","6","M","0020400","final","PR","800"
"2015","72000.00","0113","Другие общегосударственные вопросы","E","96801130920500800",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Иные бюджетные ассигнования","1",,"2015","968","Уплата членских взносов на осуществление деятельности совета муниципальных образований санкт-петербурга и содержание его органов","7","M","0920500","final","PR","800"
"2015","1117234.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","96801040020500100",,"01","Местная администрация мо мо озеро долгое","04","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","968","Глава местной администрации","8","M","0020500","final","PR","100"
"2015","19630689.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","96801040020601100",,"01","Местная администрация мо мо озеро долгое","04","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","968","Содержание и обеспечение деятельности местной администрации по решению вопросов местного значения","9","M","0020601","final","PR","100"
"2015","5237882.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","96801040020601200",,"01","Местная администрация мо мо озеро долгое","04","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Содержание и обеспечение деятельности местной администрации по решению вопросов местного значения","10","M","0020601","final","PR","200"
"2015","56595.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","96801040020601300",,"01","Местная администрация мо мо озеро долгое","04","Общегосударственные вопросы","Социальное обеспечение и иные выплаты населению","1",,"2015","968","Содержание и обеспечение деятельности местной администрации по решению вопросов местного значения","11","M","0020601","final","PR","300"
"2015","30600.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","96801040020601800",,"01","Местная администрация мо мо озеро долгое","04","Общегосударственные вопросы","Иные бюджетные ассигнования","1",,"2015","968","Содержание и обеспечение деятельности местной администрации по решению вопросов местного значения","12","M","0020601","final","PR","800"
"2015","5600.00","0104","Функционирование правительства российской федерации, высших исполнительных органов государственной власти субъектов российской федерации, местных администраций","E","96801040028010200",,"01","Местная администрация мо мо озеро долгое","04","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Расходы на исполнение государственного полномочия санкт-петербурга по составлению протоколов об административных правонарушениях за счет субвенций из бюджета санкт-петербурга","13","M","0028010","final","PR","200"
"2015","3659788.00","0111","Резервные фонды","E","96801110700101800",,"01","Местная администрация мо мо озеро долгое","11","Общегосударственные вопросы","Иные бюджетные ассигнования","1",,"2015","968","Резервный фонд местной администрации","14","M","0700101","final","PR","800"
"2015","109650.00","0113","Другие общегосударственные вопросы","E","96801130900100200",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Формирование архивных фондов органов местного самоуправления,муниципальных предприятий и учреждений","15","M","0900100","final","PR","200"
"2015","400000.00","0113","Другие общегосударственные вопросы","E","96801130920200200",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Расходы на осуществление закупок товаров, работ, услуг для обеспечения муниципальных нужд","16","M","0920200","final","PR","200"
"2015","333920.00","0113","Другие общегосударственные вопросы","E","96801130920600200",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Организация информирования,консультирования и содействия жителям муниципального образования по вопросам создания тсж, формирования земельных участков, на которых расположены многоквартирные дома","17","M","0920600","final","PR","200"
"2015","263400.00","0113","Другие общегосударственные вопросы","E","96801130920800200",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Расходы на поддержание сайта мо мо озеро долгое","18","M","0920800","final","PR","200"
"2015","400000.00","0113","Другие общегосударственные вопросы","E","96801130920900200",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Расходы на приобретение и содержание информационного оборудования в общественных местах","19","M","0920900","final","PR","200"
"2015","60000.00","0113","Другие общегосударственные вопросы","E","96801137950200200",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Целевая программа  по участию в деятельности по профилактике правонарушений в санкт-петербурге на территории мо","20","M","7950200","final","PR","200"
"2015","133920.00","0113","Другие общегосударственные вопросы","E","96801130921000200",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Расходы на осуществление защиты прав потребителей","21","M","0921000","final","PR","200"
"2015","136500.00","0113","Другие общегосударственные вопросы","E","96801137951100200",,"01","Местная администрация мо мо озеро долгое","13","Общегосударственные вопросы","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Целевая программа по участию в реализации мероприятий по охране здоровья граждан от воздействия окружающего табачного дыма и последствий потребления табака и информировании населения о вреде потребления табака и вредном воздействии окружающего табачного дыма","22","M","7951100","final","PR","200"
"2015","151351.00","0309","Защита населения и территории от чрезвычайных ситуаций природного и техногенного характера, гражданская оборона","E","96803092190300200",,"03","Местная администрация мо мо озеро долгое","09","Национальная безопасность и правоохранительная деятельность","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Целевая программа  по осуществлению содействия в установленном порядке исполнительным органам государственной власти санкт-петербурга в сборе и обмене информацией в области защиты населения и территорий от чс, а также содействия в информировании населения  об угрозе возникновения или возникновении чрезвычайной ситуации; по проведению подготовки и обучения неработающего населения способам защиты и действиям в чрезвычайных ситуациях, а так же способам защиты от опасностей, возникающих при ведении военных действий или вследствие этих действий","23","M","2190300","final","PR","200"
"2015","125000.00","0309","Защита населения и территории от чрезвычайных ситуаций природного и техногенного характера, гражданская оборона","E","96803097950500200",,"03","Местная администрация мо мо озеро долгое","09","Национальная безопасность и правоохранительная деятельность","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Целевая программа   по участию в профилактике  терроризма и экстремизма, а также  минимизации и (или) ликвидации последствий проявления терроризма и экстремизма на территории мо","24","M","7950500","final","PR","200"
"2015","166500.00","0401","Общеэкономические вопросы","E","96804015100200800",,"04","Местная администрация мо мо озеро долгое","01","Национальная экономика","Иные бюджетные ассигнования","1",,"2015","968","Временное трудоустройство несовершеннолетних в возрасте от 14 до 18 лет в свободное от учебы время","25","M","5100200","final","PR","800"
"2015","20000.00","0412","Другие вопросы в области национальной экономики","E","96804127950700200",,"04","Местная администрация мо мо озеро долгое","12","Национальная экономика","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Целевая программа по содействия развитию малого бизнеса на территории мо","26","M","7950700","final","PR","200"
"2015","32084176.00","0503","Благоустройство","E","96805036000101200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Текущий ремонт придомовых территорий и дворовых территорий , включая проезды и въезды,пешеходные дорожки","27","M","6000101","final","PR","200"
"2015","473524.00","0503","Благоустройство","E","96805036000102200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Организация дополнительных  парковочных мест на дворовых территориях","28","M","6000102","final","PR","200"
"2015","2829735.00","0503","Благоустройство","E","96805036000103200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Установка,содержание и ремонт ограждений газонов","29","M","6000103","final","PR","200"
"2015","273738.00","0503","Благоустройство","E","96805036000104200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Установка и содержание малых архитектурных форм, уличной мебели и хозяйственного-бытового оборудования, необходимого для благоустройства территории мо","30","M","6000104","final","PR","200"
"2015","0.00","0503","Благоустройство","E","96805036000201200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Оборудование контейнерных площадок на территориях дворов","31","M","6000201","final","PR","200"
"2015","0.00","0503","Благоустройство","E","96805036000203244",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Прочая закупка товаров, работ и услуг для муниципальных нужд","1",,"2015","968","Ликвидация несанкционированных свалок бытовых отходов и мусора","32","M","6000203","final","PR","244"
"2015","400000.00","0503","Благоустройство","E","96805036000204200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Ликвидация несанкционированных свалок бытовых отходов, мусора, уборка территорий, водных акваторий, тупиков и проездов","33","M","6000204","final","PR","200"
"2015","5521383.00","0503","Благоустройство","E","96805036000301200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Озеленение , содержание и ремонт территорий  зеленых насаждений внутриквартального озеленения, компенсационное озеленение","34","M","6000301","final","PR","200"
"2015","0.00","0503","Благоустройство","E","96805036000301599",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Выполнение мероприятий по решению вопросов местного значения за счет субсидий из фонда софинансирования расходов местных бюджетов","1",,"2015","968","Озеленение , содержание и ремонт территорий  зеленых насаждений внутриквартального озеленения, компенсационное озеленение","35","M","6000301","final","PR","599"
"2015","300000.00","0503","Благоустройство","E","96805036000302200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Проведение санитарных рубок, удаление аварийных, больных деревьев и кустарников в отношении зеленых насаждений внутриквартального озеленения","36","M","6000302","final","PR","200"
"2015","0.00","0503","Благоустройство","E","96805036000304200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Проведение санитарных рубок, удаление аварийных, больных деревьев и кустарников в отношении зеленых насаждений внутриквартального озеленения","37","M","6000304","final","PR","200"
"2015","150000.00","0503","Благоустройство","E","96805036000305200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Организация учета зеленых насаждений внутриквартального озеленения","38","M","6000305","final","PR","200"
"2015","4253659.00","0503","Благоустройство","E","96805036000401200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Создание зон отдыха, в том числе обустройство, содержание и уборка территорий детских площадок","39","M","6000401","final","PR","200"
"2015","1439434.00","0503","Благоустройство","E","96805036000402200",,"05","Местная администрация мо мо озеро долгое","03","Жилищно-коммунальное хозяйство","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Обустройство, содержание и уборка территорий спортивных площадок","40","M","6000402","final","PR","200"
"2015","17000.00","0705","Профессиональная подготовка, переподготовка и повышение квалификации","E","96807054280101200",,"07","Местная администрация мо мо озеро долгое","05","Образование","Закупка товаров, работ и услуг  для государственных (муниципальных) нужд","1",,"2015","968","Расходы на организацию профессионального образования и дополнительного профессионального образования для выборных должностных лиц местного самоуправления","41","M","4280101","final","PR","200"
